               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.048238,            0.015973,                   0,                   1,             0.66613,             0.88923,             0.38664,            0.046519,            0.014301,                   0,          0.00086582,          0.00086582,            0.088966
                 120,            0.040344,            0.020116,                   0,                   1,             0.66625,             0.87507,             0.38976,            0.046744,            0.014042,                   0,          0.00086833,          0.00086833,            0.088868
                 121,            0.059468,            0.019048,                   0,             0.99952,             0.66667,             0.88906,             0.55818,            0.042428,            0.013956,                   0,          0.00087074,          0.00087074,            0.088771
                 122,            0.040893,             0.02148,                   0,                   1,             0.66566,             0.77179,             0.41326,            0.046848,            0.013944,                   0,          0.00087305,          0.00087305,            0.088673
                 123,            0.044717,            0.013158,                   0,             0.77412,             0.93333,             0.92817,             0.57403,            0.039636,            0.013988,                   0,          0.00087526,          0.00087526,            0.088575
                 124,            0.050661,            0.018693,                   0,                   1,             0.59998,              0.7546,             0.31529,            0.052218,            0.012809,                   0,          0.00087738,          0.00087738,            0.088477
                 125,            0.051981,            0.014598,                   0,             0.90903,             0.66624,             0.83669,             0.38789,            0.045476,            0.012758,                   0,          0.00087941,          0.00087941,            0.088379
                 126,            0.049721,            0.022246,                   0,             0.99981,             0.66667,             0.85305,               0.601,            0.042892,            0.012568,                   0,          0.00088134,          0.00088134,            0.088281
                 127,             0.03986,            0.018121,                   0,                   1,             0.66652,             0.81599,             0.59028,            0.044748,            0.012576,                   0,          0.00088317,          0.00088317,            0.088183
                 128,            0.047544,            0.015392,                   0,             0.85632,                 0.8,             0.90348,             0.62954,            0.038745,            0.013434,                   0,          0.00088492,          0.00088492,            0.088085
                 129,             0.03672,            0.015284,                   0,             0.99987,             0.66667,             0.85019,             0.63562,            0.038582,            0.013608,                   0,          0.00088656,          0.00088656,            0.087987
                 130,            0.047628,            0.017196,                   0,              0.9987,             0.66667,             0.86819,             0.56563,            0.038465,            0.013467,                   0,          0.00088811,          0.00088811,            0.087888
                 131,            0.033561,            0.010078,                   0,              0.9991,             0.66667,             0.87143,              0.5111,            0.042374,            0.013176,                   0,          0.00088957,          0.00088957,             0.08779
                 132,            0.038952,            0.022155,                   0,             0.99899,             0.66667,             0.86145,             0.42438,            0.039622,            0.013792,                   0,          0.00089094,          0.00089094,            0.087691
                 133,            0.043728,             0.01772,                   0,             0.83323,             0.99931,             0.94583,             0.56223,            0.031245,            0.015099,                   0,          0.00089221,          0.00089221,            0.087592
                 134,            0.041596,            0.018934,                   0,             0.99988,             0.66667,             0.84414,             0.55834,            0.042894,            0.014466,                   0,          0.00089339,          0.00089339,            0.087493
                 135,            0.038285,            0.015129,                   0,             0.99938,             0.66667,             0.88733,             0.59273,            0.038403,            0.014612,                   0,          0.00089447,          0.00089447,            0.087394
                 136,            0.045384,            0.016683,                   0,             0.99986,             0.66667,             0.83615,             0.28117,            0.041612,            0.014297,                   0,          0.00089547,          0.00089547,            0.087295
                 137,            0.040281,            0.016985,                   0,             0.99936,             0.66667,             0.89006,             0.67472,            0.038992,            0.014253,                   0,          0.00089637,          0.00089637,            0.087196
                 138,             0.04559,            0.014336,                   0,             0.99971,             0.66667,              0.8273,             0.50202,            0.042101,            0.013573,                   0,          0.00089718,          0.00089718,            0.087097
                 139,            0.039011,            0.014108,                   0,              0.7867,                   1,             0.92949,             0.51971,            0.039223,            0.013894,                   0,          0.00089791,          0.00089791,            0.086998
                 140,            0.043608,            0.018261,                   0,             0.99997,             0.66667,             0.80996,             0.47042,             0.04191,            0.013343,                   0,          0.00089854,          0.00089854,            0.086899
                 141,            0.041377,            0.015379,                   0,             0.86564,             0.86667,             0.93583,              0.5331,            0.041601,            0.013045,                   0,          0.00089908,          0.00089908,            0.086799
                 142,            0.047942,            0.017598,                   0,             0.99963,             0.66667,             0.80994,             0.33609,            0.045598,            0.013127,                   0,          0.00089953,          0.00089953,              0.0867
                 143,            0.044748,            0.018442,                   0,             0.81246,             0.86646,             0.92014,             0.51038,            0.033737,             0.01332,                   0,          0.00089989,          0.00089989,              0.0866
                 144,            0.043521,            0.016909,                   0,             0.91665,             0.73318,             0.88045,              0.5335,            0.043044,             0.01261,                   0,          0.00090017,          0.00090017,              0.0865
                 145,            0.043491,            0.015179,                   0,             0.99737,                 0.6,             0.84492,             0.45104,            0.035574,            0.013115,                   0,          0.00090035,          0.00090035,              0.0864
                 146,            0.043451,            0.010024,                   0,             0.99959,             0.66667,             0.86498,             0.36325,            0.040937,            0.012293,                   0,          0.00090046,          0.00090046,              0.0863
                 147,            0.041681,            0.013174,                   0,             0.68091,                   1,             0.89903,             0.67135,            0.037336,            0.012158,                   0,          0.00090047,          0.00090047,              0.0862
                 148,            0.041711,            0.013303,                   0,             0.99878,                 0.6,             0.82078,             0.49664,             0.04432,            0.011306,                   0,           0.0009004,           0.0009004,              0.0861
                 149,            0.040787,            0.022381,                   0,             0.83193,             0.99047,                0.94,             0.58969,            0.034576,            0.011868,                   0,          0.00090024,          0.00090024,               0.086
                 150,            0.039688,            0.015435,                   0,             0.62479,                   1,             0.87497,              0.5534,            0.041259,            0.011253,                   0,              0.0009,              0.0009,              0.0859
                 151,            0.039793,            0.011698,                   0,              0.6243,                   1,             0.84562,             0.45962,             0.03494,            0.012147,                   0,          0.00089968,          0.00089968,              0.0858
                 152,            0.043898,            0.017168,                   0,             0.76364,             0.86667,             0.89175,             0.40002,            0.038605,             0.01202,                   0,          0.00089927,          0.00089927,            0.085699
                 153,             0.03977,             0.01544,                   0,             0.92813,             0.86667,             0.95516,             0.65092,            0.038897,             0.01158,                   0,          0.00089878,          0.00089878,            0.085599
                 154,            0.038655,            0.016366,                   0,             0.90699,             0.66667,             0.84711,             0.50503,            0.040679,            0.011226,                   0,           0.0008982,           0.0008982,            0.085498
                 155,            0.043997,            0.012858,                   0,             0.99952,             0.86667,             0.97625,             0.63338,            0.033095,            0.011513,                   0,          0.00089755,          0.00089755,            0.085398
                 156,            0.037807,            0.014902,                   0,                   1,             0.66575,              0.8661,             0.51934,            0.037288,            0.011481,                   0,          0.00089682,          0.00089682,            0.085297
                 157,            0.044196,            0.015372,                   0,             0.99927,                 0.6,              0.8518,              0.4168,            0.037475,            0.011373,                   0,          0.00089601,          0.00089601,            0.085196
                 158,            0.042196,            0.013047,                   0,             0.92292,             0.79839,             0.93918,             0.74385,            0.033125,            0.011262,                   0,          0.00089512,          0.00089512,            0.085095
                 159,            0.032423,           0.0092762,                   0,             0.76399,             0.86667,              0.9067,             0.65846,            0.036168,            0.010919,                   0,          0.00089415,          0.00089415,            0.084994
                 160,            0.039938,            0.015433,                   0,             0.92856,             0.86647,             0.95573,             0.51068,            0.035132,            0.011034,                   0,           0.0008931,           0.0008931,            0.084893
                 161,            0.042023,            0.016228,                   0,             0.68182,                   1,              0.8933,             0.54293,            0.034176,            0.010804,                   0,          0.00089198,          0.00089198,            0.084792
                 162,            0.039761,            0.012572,                   0,             0.99908,             0.66667,             0.81738,              0.3925,            0.039177,             0.01075,                   0,          0.00089078,          0.00089078,            0.084691
                 163,            0.042548,            0.010491,                   0,             0.82321,             0.93333,             0.94448,             0.68389,            0.034447,            0.010816,                   0,          0.00088951,          0.00088951,             0.08459
                 164,            0.040378,            0.013104,                   0,             0.99944,             0.66667,             0.85257,             0.50847,             0.03852,            0.010691,                   0,          0.00088817,          0.00088817,            0.084488
                 165,            0.043449,            0.015618,                   0,             0.93329,             0.93275,             0.98033,             0.65608,            0.031487,            0.010721,                   0,          0.00088675,          0.00088675,            0.084387
                 166,            0.036871,           0.0086604,                   0,             0.99944,             0.66667,             0.88418,             0.51603,            0.038207,            0.010552,                   0,          0.00088527,          0.00088527,            0.084285
                 167,             0.04112,            0.014466,                   0,              0.9966,             0.66667,             0.89768,             0.65283,            0.035189,            0.010587,                   0,          0.00088371,          0.00088371,            0.084184
